iter	RMSE
0	45448.71764
1	43749.78017
2	42138.63751
3	40626.05521
4	39030.12758
5	37631.37967
6	36207.97123
7	34876.15434
8	33606.54401
9	32425.95548
10	31321.76586
11	30176.6798
12	29170.34959
13	28135.22312
14	27167.92747
15	26270.63386
16	25414.97277
17	24573.05854
18	23790.48951
19	23043.54061
20	22324.15528
21	21625.34304
22	20905.05221
23	20272.7202
24	19595.04557
25	18986.91927
26	18384.53107
27	17875.61896
28	17384.11292
29	16867.41715
30	16328.01957
31	15814.15374
32	15342.66092
33	14897.92943
34	14456.51128
35	14009.58809
36	13633.11751
37	13230.35402
38	12833.0707
39	12454.95102
40	12106.87399
41	11767.88003
42	11431.28446
43	11126.16542
44	10818.58241
45	10527.43445
46	10255.16073
47	9971.490286
48	9694.379487
49	9445.125852
50	9203.799253
51	8952.833486
52	8730.914845
53	8524.901519
54	8292.416282
55	8069.256684
56	7875.872125
57	7692.255819
58	7508.394551
59	7325.446178
60	7153.471838
61	6986.273312
62	6824.317064
63	6660.272764
64	6499.850269
65	6361.15249
66	6218.871988
67	6084.956318
68	5952.938065
69	5827.819498
70	5701.24563
71	5581.704734
72	5471.552525
73	5351.888212
74	5247.486974
75	5145.280514
76	5042.993564
77	4938.359477
78	4846.314641
79	4749.877076
80	4669.713841
81	4578.283623
82	4492.480819
83	4410.935042
84	4342.351887
85	4267.892448
86	4194.122622
87	4126.484875
88	4060.866618
89	3999.582409
90	3939.192691
91	3871.349885
92	3811.54411
93	3751.875957
94	3693.865412
95	3641.566532
96	3593.347097
97	3547.538891
98	3494.706062
99	3445.038652
100	3414.448582
101	3369.295746
102	3329.84434
103	3292.777845
104	3250.977527
105	3212.635688
106	3185.220049
107	3150.324509
108	3121.20405
109	3085.40234
110	3056.671637
111	3018.326391
112	2989.392703
113	2959.163681
114	2928.989465
115	2895.212556
116	2868.805426
117	2845.448404
118	2820.791793
119	2797.7302
120	2776.943972
121	2755.867327
122	2736.740686
123	2717.309347
124	2698.865019
125	2682.778637
126	2661.346826
127	2639.509043
128	2621.656358
129	2604.305224
130	2586.845885
131	2572.178815
132	2556.539033
133	2538.044169
134	2524.839721
135	2512.256176
136	2500.275702
137	2487.165247
138	2474.381283
139	2461.852445
140	2451.311497
141	2439.279365
142	2429.671902
143	2417.813077
144	2409.044111
145	2390.543797
146	2380.178778
147	2366.670205
148	2356.083109
149	2346.22609
150	2336.449896
151	2327.868832
152	2321.168352
153	2314.905312
154	2307.079023
155	2291.466164
156	2281.095373
157	2266.872628
158	2259.569383
159	2246.508359
160	2233.740209
161	2221.848569
162	2216.115018
163	2211.306904
164	2205.541016
165	2195.934984
166	2188.492205
167	2181.208988
168	2172.961294
169	2161.128018
170	2152.277331
171	2144.329502
172	2139.763711
173	2132.735636
174	2126.538894
175	2120.924989
176	2113.835017
177	2109.093864
178	2101.00343
179	2092.735897
180	2089.223192
181	2083.605203
182	2079.964564
183	2073.654603
184	2069.465455
185	2063.699764
186	2057.75578
187	2053.217437
